ID,timeset,LANGUAGE,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C,full_text
1759844758363443210,2024-02-20T07:37:41+00:00,nl,235,4,64,48,24693,"Beste mensen, ‘Onnozelheden’‘België moet de NAVO uitgaven versneld uitvoeren.’ dixit Alexander De Croo afgelopen weekend op de Security Conference in München, de jaarlijkse hoogmis van de internationale veiligheidsgemeenschap. Geïsoleerd De Croo voelt natuurlijk de hete… https://t.co/HSIOdKEdYs"
1758816571886043540,2024-02-17T11:32:02+00:00,nl,0,0,0,208,,RT @PVelleAntiJihad: Een tweede Pakistaanse radicale imam werd ook vereerd in Brussels parlement. Namelijk Adnan Feroz! Hij is close met sa…
1758775924491751453,2024-02-17T08:50:31+00:00,nl,0,0,0,341,,RT @SafaiDarya: Wat zou de reden geweest zijn dat deze extremist een prijs mocht ontvangen van de Brusselse staatssecretaris voor Gelijke K…
1758625197861605617,2024-02-16T22:51:35+00:00,nl,1462,30,131,341,103258,Wat zou de reden geweest zijn dat deze extremist een prijs mocht ontvangen van de Brusselse staatssecretaris voor Gelijke Kansen?Voor zijn perfecte integratie? Voor zijn respect voor de waarden van onze westerse democratie? Voor zijn respect voor vrouwen en de LGBTQI+… https://t.co/bcHVQkj0oI
1758457914803527844,2024-02-16T11:46:52+00:00,nl,1547,121,231,495,276486,Ongelofelijk!In het Brusselse Parlement: een bebaarde man die de verzen van de Koran zingt.Deze islamisten zijn diegenen die de sharia gebruiken om vrouwen in islamitische landen te onderdrukken en hen te doen gehoorzamen onder het mom van “de woorden van Allah” en “men moet… https://t.co/Gcu5mEWnjt
1758589662170419599,2024-02-16T20:30:23+00:00,en,726,49,74,289,55009,Which surah from the Quran did the Imam actually sing in the Brussels parliament?The radical Imam sang verses 41 to 47 of the Surah "Al-Ahzab" (Surah The Confederates) in the heart of Western democracy.This Surah is about a battle between Muslims and Jews. It also indicates…
1758495895245451650,2024-02-16T14:17:47+00:00,en,1183,44,116,372,86933,Unbelievable!In the Brussels Parliament: a bearded man chanting the verses of the Quran.These Islamists are those who use Sharia law to oppress women in Islamic countries and make them obey under the guise of "the words of Allah" and "one must submit to the will of God."Did… https://t.co/DhutxVxy0k
1728714670326821002,2023-11-26T09:57:50+00:00,nl,170,3,32,13,17206,"@egbertlachaert België en Spanje hebben geen enkele geloofwaardigheid meer als het gaat om bemiddeling. Daar was mijn interview - domme verspreking incluis - niet voor nodig, spijtig genoeg. De bruggen met Tel Aviv zijn minstens tijdelijk opgeblazen. Daarnaast zou ik niet weten waarom de https://t.co/3nNrGBVFBo"
1713059606849548593,2023-10-14T05:10:12+00:00,nl,785,10,69,182,58020,En alweer kloppen de begrotingstabellen niet. Alweer geeft De Croo verkeerde cijfers aan het parlement.Wat een amateurisme.Je zou denken dat ze hun lesje hebben geleerd na het cijfer-debacle met Eva De Bleeker. Maar neen dus. https://t.co/dYVSNXkwpU
1758434959943983193,2024-02-16T10:15:39+00:00,nl,0,0,0,11,,RT @de_NVA: 'Vorige legislatuur kwam er onder @svandeput een omslag op vlak van defensie-investeringen. Dat werd destijds weggehoond door d…
1739387243591029216,2023-12-25T20:46:49+00:00,nl,0,0,0,21,,"RT @FranckenTheo: Geen kerstmankidnapping 🎅🏼🫣 om 5u ‘s nachts in de Kamer, wél een gemeende kerstwens namens onze Kamerfractie - en ik denk…"
1739213087939473806,2023-12-25T09:14:47+00:00,nl,0,0,0,17,,RT @nvakamer: Onze fractie wenst u alvast een zalig kerstfeest en een gelukkig 2024! 🎄🥂 https://t.co/IjqFqoX22T
1735332404116570569,2023-12-14T16:14:20+00:00,en,2,0,0,0,166,@MichelleHaas_ @WouterDeVriendt @Petergee1 @GIESGhent Succes!
1735281459294867545,2023-12-14T12:51:54+00:00,qme,12,0,1,0,317,#nieuweprofielfoto https://t.co/y5i4pqqfgS
1732866312857162185,2023-12-07T20:54:58+00:00,nl,0,0,0,58,,"RT @PeterDeRoover1: ‘Meteen, nu, vandaag bewijs publiek maken’ reageerde min. Vandenbroucke op vraag @KDepoorterMP over dubieuze aanbestedi…"
1732438765572931672,2023-12-06T16:36:03+00:00,nl,17,0,3,5,1105,"Wat leren we uit de budgetbespreking defensie? Het Rekenhof stelt vast dat er een achteruitgang is van 1,21 in ‘23 naar 1,17% in ’24 van het bbp. We moeten onze NAVO-verplichtingen nakomen. België ligt in die kringen al langer onder vuur. Enkele opmerkingen: https://t.co/uUKXPK2RpJ"
1732439045932794003,2023-12-06T16:37:10+00:00,nl,4,0,4,1,193,"2024: slechts 1,17% v/h BBP defensie-investeringen ipv 1,26%. Budget daalt zelfs tov 2023. Tegen de NAVO-verplichtingen in, terwijl alles duurder wordt. Het pad naar 1,54% in 2030 ligt op die manier nog moeilijker. Om nog maar te zwijgen over de 2%-norm."
1732439164497379818,2023-12-06T16:37:38+00:00,nl,4,0,1,1,104,"Deze regering had de mond vol van transparantie en parlementaire betrokkenheid. De waarheid is echter ontnuchterend: werkbezoeken geboycot, PPTs niet vrijgegeven, nota’s over levering F16’s aan Oekraïne weigert minister te geven. Onder @svandeput was die betrokkenheid veel groter"
1732439274602053650,2023-12-06T16:38:04+00:00,nl,0,0,0,0,45,Volgens ministers @AnneliesVl en @PaulVanTigchelt zou #defensie militairen inzetten in de ‘war on drugs’. Dit voor de beveiliging van inbeslaggenomen drugs. MOD @DedonderLudivin ontkende dit formeel: Defensie levert geen bijdrage. Wat is het nu? De Vivaldipartituren klinken vals.
1732439644686467361,2023-12-06T16:39:33+00:00,nl,0,0,0,0,48,STAR-programma staat onder druk. Eerder geraamde kostprijs nieuwe fregatten BeNeSam - cruciaal voor bescherming van energie-infrastructuur op zee - is toegenomen. Dedonder wil nu schuiven met kredieten binnen meerjarenplanning. Ten kosten van welke toekomstige projecten?
1732439831475601690,2023-12-06T16:40:17+00:00,nl,4,0,0,0,87,"Tegen alle adviezen in wil Vivaldi drones niet bewapenen. @hendrikbogaert pleit voor, maar @cdenv_Kamer stemde mijn VVR weg. @LacroixCh ‘Nous avons besoin des drones armees’, maar krabbelt terug. Bewapende drones zijn onmisbaar. Tijd om realiteit onder ogen te zien, zoals in NL."
1721877864478331140,2023-11-07T13:10:48+00:00,nl,43,0,2,5,1833,Begrotingscijfers zijn nog steeds niet binnen. Ik kan dan ook niet anders dan de bespreking van de beleidsnota defensie morgen in #COMDEF annuleren. Komt er nog een moment dat Vivaldi het parlement ernstig wil behandelen? @DedonderLudivin Is dit de “nieuwe politieke cultuur”?
1718938429025554610,2023-10-30T10:30:32+00:00,nl,0,0,0,90,,RT @de_NVA: ’t Zijn zotten die werken. Dat moet eindelijk veranderen. Hoe kunnen we ervoor zorgen dat elke Vlaming er écht op vooruitgaat?…
1717130318946197521,2023-10-25T10:45:45+00:00,nl,68,2,8,12,8646,Minister @DedonderLudivin wil de studie v F16-levering aan #Oekraïne niet ter beschikking stellen a/h parlement. Gelukkig keurde #COMDEF via een wisselmeerderheid zojuist mijn voorstel goed zodat we toch moeten beschikken over dat rapport. Dank aan @groen @openvld &amp; @vooruit_nu
1712151407153840168,2023-10-11T17:01:20+00:00,nl,5,0,1,2,683,"Vorige vroeg ik in #COMDEF nog meer transparantie en inzage in de verwachte studie over de F16’s in #Oekraïne. De conclusies worden ondertussen door @DedonderLudivin getrokken, terwijl we nog niks gezien hebben. Graag dringend die studie aan comdef bezorgen, minister!"
1712153382255727026,2023-10-11T17:09:11+00:00,zxx,0,0,0,0,139,https://t.co/Gzt8EW5yZg
1679742319463989249,2023-07-14T06:39:11+00:00,en,0,0,0,4,,"RT @NATO_KFOR: Commander of the #NATO-led #KFOR mission, MG Angelo Michele Ristuccia, met with Belgium parliamentary delegation led by H.E.…"
1678991271778549760,2023-07-12T04:54:47+00:00,nl,0,0,0,6,,RT @FranckenTheo: Drie dagen voor @NATO pa naar Albanië 🇦🇱 én Kosovo 🇽🇰. Meetings met oa de eerste minister van Kosovo en een bezoek aan KF…
1759860003786113202,2024-02-20T08:38:16+00:00,nl,14,0,4,0,1832,"NAVO Parlement, Brussels Meeting, dag 2.Eerste aankondiging van de dag, Hongaars parlement zal maandag de toetreding van Zweden als 32ste bondgenoot goedkeuren. Welkom Zweden!🇸🇪 #WeAreNATO @natopapress https://t.co/fxQb3lYXMx"
1676484153599053824,2023-07-05T06:52:24+00:00,nl,0,0,0,5,,RT @FranckenTheo: Dagje Defensie met mijn collega van vele jaren @PeterBuysrogge :8.30u: Commissie voor buitenlandse missies (gesloten de…
1759601947437359340,2024-02-19T15:32:50+00:00,nl,0,0,0,104,,RT @de_NVA: 'De voorstellen van Magnette om minder te werken zijn pure fantasie. Hij zou beter focussen op de vele Waalse werklozen. Als de…
1759559504528552428,2024-02-19T12:44:11+00:00,nl,0,0,0,177,,"RT @Bart_DeWever: Terwijl de kosten van ons sociaal beleid richting onbetaalbaarheid evolueren, werkt een derde van de actieve Waalse bevol…"
1759118449005977614,2024-02-18T07:31:35+00:00,nl,0,0,0,17,,RT @jorisvancauter: Mini. v. justitie in DS: "30 procent van het politiewerk bestaat uit administratieve zaken. Laat ons daar artificiële i…
1758861164069425657,2024-02-17T14:29:14+00:00,nl,233,3,38,32,8720,"Je zou bijna vergeten dat haar partij al 25j regeert en meermaals de justitieminister leverde, waaronder ook de voorbije 4,5 jaar…Antwerpse advocate is nieuw witte konijn bij Open VLD: “Hervormingen om justitie efficiënter te maken dringen zich op” https://t.co/BMdYQAI6YB"
1758855818907095453,2024-02-17T14:07:59+00:00,nl,0,0,0,71,,RT @GeertNoels: De overheidsfinanciën ontsporen volgen het @FPB_BE "vooral door hogere uitgaven voor pensioenen en gezondheidszorg".  Meer…
1758839301813498234,2024-02-17T13:02:21+00:00,nl,0,0,0,24,,RT @peterdedecker: Voor wie dacht dat het Verhofstadt was die de grootste put achterliet: think again. Maar het beste moet nog komen...
1758361371475956190,2024-02-16T05:23:14+00:00,nl,0,0,0,33,,"RT @GeertBourgeois: Nog eens ⁦@destandaard⁩ :  ⁦@de_NVA⁩ , niet de eerste minister, kaartte het gebrek aan marktmacht v v d boer in de voed…"
1756023048375849417,2024-02-09T18:31:34+00:00,nl,0,0,0,9,,"RT @de_NVA: ""Hervormen ja, Vandenbroucke nee"", zo kopt Artsenkrant (@aktweetsbe) over een enquête die ze voerden bij honderden artsen.Hie…"
1755924769722003949,2024-02-09T12:01:03+00:00,nl,0,0,0,85,,RT @peterdedecker: Sociale transfers kosten Vlaming bijna 1.200 euro per jaar. Of zo'n 5000 euro per gezin per jaar. Wegens een allesbehalv…
1755921008869978307,2024-02-09T11:46:06+00:00,nl,73,0,8,16,1904,"Dit. 👇(A propos. Indien de PS dit feestje wil geven, dat ze het dan ook zelf betalen)."
1759594675994857505,2024-02-19T15:03:57+00:00,nl,292,3,77,56,19836,"Het probleem zit bij de uitgaven.En neen, niet alleen de pensioenen en de vergrijzing zorgen voor hoge uitgaven. Het probleem zit veel breder en dieper, dat bewijst deze grafiek van @ericdor_econo.U betaalt teveel belastingen. Maar dan nog komt de overheid niet toe. De… https://t.co/otFXdfEGp4"
1755918427791716713,2024-02-09T11:35:51+00:00,nl,0,0,0,144,,"RT @PeterDeRoover1: Gros Franstalige ministers #fedreg quasi Nederlandsonkundig (en zwak Engels).Lahbib, Dedonder, Clarinval, Khattabi, Mi…"
1759256249651065146,2024-02-18T16:39:09+00:00,nl,210,1,53,30,9210,"Allemaal @PSofficiel stemmen zou ik zeggen en vervolgens gewoon 38 uur/week blijven werken. Dankzij de PS stijgt het inkomen zo mooi met 18,75% zonder langere werkweek!(Ongetwijfeld mis ik iets maar het klinkt geweldig.) https://t.co/uZfOTuU50E"
1755660690751172913,2024-02-08T18:31:41+00:00,nl,0,0,0,38,,"RT @mcockhuyt: Al is de communistische leugen nog zo snel, de waarheid achterhaalt haar wel 🤡 https://t.co/ALlEf4Difp"
1755658676663206166,2024-02-08T18:23:41+00:00,nl,0,0,0,31,,RT @de_NVA: 'Het compleet onhaalbare klimaatarrest van het Brusselse hof van Beroep zou onze industrie en onze landbouw volledig onderuitha…
1755658415244779801,2024-02-08T18:22:39+00:00,nl,0,0,0,32,,RT @jvanovertveldt: Laat dit even binnenkomen mensen. Het staat er echt. Van het paa(r)dje. Efteling moet paarden uit draaimolens verban…
1755617536736219159,2024-02-08T15:40:13+00:00,nl,0,0,0,5,,"RT @villapolitica: ""Als de minister iets met de pornografische beelden kan ondernemen, dan moet hij dat vooral doen. Alleen vind ik dat de…"
1754619280295956547,2024-02-05T21:33:30+00:00,nl,24,0,7,3,1004,Er is ook gewoonmeer gevangeniscapaciteit nodig. #Vivaldi heeft masterplan voor gevangenissen en psychiatrische centra niet geactualiseerd en in de schuif gestoken. De door VQ beloofde detentiehuizen zijn er vervolgens evenmin gekomen. Niet de enige verbroken belofte van VQ.
1754178843777089661,2024-02-04T16:23:22+00:00,nl,0,0,0,35,,RT @Zu_Demir: Zuhal Demir (N-VA) bijt van zich af: “Wie heeft aan het handje gelopen van Frans Timmermans? Ik niet” https://t.co/x55JtinneF
1754129888011837900,2024-02-04T13:08:50+00:00,nl,0,0,0,84,,RT @Zu_Demir: Wie liep er de voorbije jaren aan het handje van Frans Timmermans? Niet ik. Telkens was het kot te klein wanneer ik waarschuw…
1754129244467110149,2024-02-04T13:06:16+00:00,nl,0,0,0,22,,RT @Zu_Demir: Ik zie veel electoraal gedrag maar dat helpt de boeren net zoals de voorbije dertig jaar niet vooruit. Beleidsmakers moeten n…
1754111712737829233,2024-02-04T11:56:36+00:00,nl,0,0,0,36,,"RT @PieterBauwens: Volgens Elio Di Rupo investeerde de Generale Maatschappij de Waalse winsten inVlaanderen. Klopt niet, stelt econoom Her…"
1759608204424548779,2024-02-19T15:57:42+00:00,nl,210,13,109,26,55520,TikTok is Chinese spionage en puur vergif voor onze jeugd. Psy-ops om onze jeugd dom te houden/maken. Schandalig dat onze MoD @DedonderLudivin dit zelf promoot. Defensie zou beter moeten weten. Europese Commissie opent onderzoek naar TikTok: app schendt mogelijk regels die…
1733450500824043714,2023-12-09T11:36:20+00:00,nl,0,0,0,0,28,@merelmaes Je zou een punt kunnen hebben.
1729456981075763618,2023-11-28T11:07:30+00:00,nl,0,0,0,0,317,@CCRNLL Ik wil het niet weten maar gelukkige verjaardag Lotte!
1727757546729955539,2023-11-23T18:34:33+00:00,en,19149,582,2966,7034,1744923,"Today, I watched a horror movie. With this difference that it was not a staged play or acted... what we were shown really happened.It was uncensored footage of the 7 October massacre by Hamas.The movie that was actually planned to be shown in parliament, but was eventually… https://t.co/m4ZQmVIkoF"
1727795844802384376,2023-11-23T21:06:44+00:00,qme,460,2,19,13,67706,@KosherKockney 💔
1727796052512719289,2023-11-23T21:07:34+00:00,qme,253,0,10,3,54958,@miradulescu 💔
1723375341358490067,2023-11-11T16:21:14+00:00,nl,13,0,4,3,2474,"Een heuse podcast over wie ik ben, mijn passies, en waarom ik aan politiek doe: hij bestaat!Bekijk hem hier: https://t.co/BVHNIndQva https://t.co/kwEXiXyKg2"
1720690389777100857,2023-11-04T06:32:12+00:00,nl,1138,22,98,211,129379,"Helemaal van het padje af. Ziekenhuizen sluiten bedden door gebrek aan personeel. Zwaar problematisch. En ipv dat aan te pakken wordt aan diezelfde ziekenhuizen gevraagd om ook nog eens asielzoekers op te vangen? Kom uit die parallelle wereld, Vivaldihttps://t.co/lmLN4pO80l"
1720849625840484569,2023-11-04T17:04:57+00:00,nl,3,0,1,0,694,@Hind_Al_H In de verste verte niet
1720703476529827842,2023-11-04T07:24:12+00:00,qme,55,0,11,1,2713,@CharlesUrbain https://t.co/2QeMiy2yqm
1720774852070551770,2023-11-04T12:07:49+00:00,nl,21,0,4,0,1085,@wjindemans Ik maak geen vergelijking. Ik geef de oorzaak aan waarom bedden leeg staan. Problematisch voor continuïteit van onze zorg. En i.p.v. dat op te lossen of zelfs maar in kaart te brengen wordt aan ziekenhuizen gevraagd of ze geen gangen ter beschikking kunnen stellen voor niet-zorg?
1693660618060873965,2023-08-21T16:25:32+00:00,nl,1,0,0,0,632,@Riadh_B Heerlijk.
1685351511100944385,2023-07-29T18:08:07+00:00,nl,2,0,1,0,53,"@Kurt_roelandt @sthbracke @openvld -Omdat we hier goed samenwerken-Omdat we de boel hier wel op orde zetten en historische schulden van de socialisten stelselmatig wegwerken-En omdat we hier wel genoeg geld hebben om ons beleid te financieren, want onze AFM is op het einde van de planningsperiode ruim positief."
1684303085785563137,2023-07-26T20:42:03+00:00,nl,1,0,0,0,1082,"@SvenDeSchutter Ik ging er 6 jaar geleden elke ochtend vroeg zwemmen toen ik er op werkbezoek was. Ik vond het even wennen om geen rechte baantjes te zwemmen, maar wel echt leuk :-)"
1682633157491712001,2023-07-22T06:06:21+00:00,nl,3,0,1,1,715,"Kinderen liefdevolle en zorgende ouders ontzeggen, enkel omdat beide ouders van hetzelfde geslacht zijn. Wie wordt daar beter van?"
1671398141701095425,2023-06-21T06:02:24+00:00,nl,354,4,61,56,40626,"Met degelijk parlementair grondwerk spit collega @SafaiDarya het Iraanse visumschandaal boven. De zware ernst ervan leidde intussen al tot het ontslag van een staatssecretaris. Ook de premier lijkt nu zelfs mee betrokken.En dan dit bericht? Bah. Ga u schamen, mijnheer Keuleneer https://t.co/yZz2qZLyks"
1670740953219440650,2023-06-19T10:30:58+00:00,qme,0,0,0,0,40,@WimLuyckx 🙋🏻‍♂️
1667620524493623305,2023-06-10T19:51:30+00:00,nl,212,3,45,44,14741,Weet je wat er finaal gebeurt wanneer de regering De Croo zo voortdoet? Dan zijn uw spaarcenten helemaal in gevaar…Econoom Gert Peersman vandaag in De Morgen. https://t.co/E4WSXhiqyF
1667621306525790209,2023-06-10T19:54:37+00:00,nl,125,1,11,16,2834,Uw spaarcenten staan dus eigenlijk garant voor de zotternijen van De Croo. Beangstigend gewoon.Ik maakte dezelfde analyse eerder ook al in @PALNWS:https://t.co/5x6kqO0teK
1759310651057410149,2024-02-18T20:15:20+00:00,nl,388,1,33,68,11355,“Met dit voorstel kiest Paul Magnette (PS) moedwillig voor de afbraak van onze welvaart”.
1666925110903570433,2023-06-08T21:48:11+00:00,nl,1,0,0,0,62,@ancapoen Get a grip miss dramaqueen.
1665633940630040576,2023-06-05T08:17:32+00:00,nl,2,1,0,0,327,Als fervent crossfitter vind ik het geweldig dat de sport ook wat aandacht krijgt van @sporza. Ter info: naast Jelle Hoste heeft ook Manon Angonese zich dit weekend geplaatst voor de Crossfit Games.
1652785010494111744,2023-04-30T21:20:28+00:00,nl,20,0,2,2,1316,JE HEBT GELIJK JASPER. HET LEGER NAAR EEN MILITAIR DOMEIN STUREN IS ECHT KNETTERGEK! 🙄
1652776041721606145,2023-04-30T20:44:50+00:00,nl,95,0,24,18,10028,N-VA vraagt minister @AnneliesVl om uitleg te komen geven in een extra com binnenlandse zaken over de preventieve informatiepositie van de veiligheidsdiensten en het beheer of beter het non-beheer van de situatie. ⁦@DeKamerBE⁩ https://t.co/Dnk1XI6cCX
1652593630920470529,2023-04-30T08:39:59+00:00,nl,282,5,68,28,32754,Het militair domein van Brustem staat dit weekend symbool voor onze defensie. #walkover #geenmiddelen #geenverantwoordelijkheid
